bus_route_location_id,route_id,station_id,station_seq,end_bus,low_plate,plate_no,plate_type,remain_seat_count,created_at
1,233000031,202000217,1,0,1,BUS-1,4,15,2024-07-22 11:44:52
2,233000031,202000208,2,0,0,BUS-2,1,20,2024-07-22 12:44:52
3,233000031,202000194,3,0,0,BUS-3,2,26,2024-07-22 13:44:52
4,233000031,200000202,4,0,1,BUS-4,4,23,2024-07-22 14:44:52
5,233000031,202000220,5,0,0,BUS-5,0,12,2024-07-22 15:44:52
6,233000031,202000201,6,0,1,BUS-6,0,40,2024-07-22 16:44:52
7,233000031,202000215,7,1,0,BUS-7,2,30,2024-07-22 17:44:52
8,233000031,202000211,8,0,0,BUS-8,1,6,2024-07-22 18:44:52
9,233000031,202000203,9,0,0,BUS-9,4,8,2024-07-22 19:44:52
10,233000031,202000205,10,0,0,BUS-10,3,42,2024-07-22 20:44:52
11,233000031,202000217,1,0,1,BUS-11,3,36,2024-07-22 21:44:52
12,233000031,202000208,2,0,1,BUS-12,3,27,2024-07-22 22:44:52
13,233000031,202000194,3,0,0,BUS-13,1,30,2024-07-22 23:44:52
14,233000031,200000202,4,0,1,BUS-14,4,41,2024-07-23 00:44:52
15,233000031,202000220,5,0,0,BUS-15,4,34,2024-07-23 01:44:52
16,233000031,202000201,6,0,0,BUS-16,2,18,2024-07-23 02:44:52
17,233000031,202000215,7,0,0,BUS-17,1,12,2024-07-23 03:44:52
18,233000031,202000211,8,0,0,BUS-18,3,29,2024-07-23 04:44:52
19,233000031,202000203,9,0,1,BUS-19,3,7,2024-07-23 05:44:52
20,233000031,202000205,10,1,1,BUS-20,2,11,2024-07-23 06:44:52
21,233000031,202000217,1,1,0,BUS-21,2,12,2024-07-23 07:44:52
22,233000031,202000208,2,0,0,BUS-22,1,3,2024-07-23 08:44:52
23,233000031,202000194,3,0,0,BUS-23,4,36,2024-07-23 09:44:52
24,233000031,200000202,4,0,0,BUS-24,2,1,2024-07-23 10:44:52
25,233000031,202000220,5,0,0,BUS-25,4,7,2024-07-23 11:44:52
26,233000031,202000201,6,0,0,BUS-26,0,31,2024-07-23 12:44:52
27,233000031,202000215,7,0,0,BUS-27,2,27,2024-07-23 13:44:52
28,233000031,202000211,8,0,0,BUS-28,0,29,2024-07-23 14:44:52
29,233000031,202000203,9,1,0,BUS-29,4,16,2024-07-23 15:44:52
