route_id,route_name
210000076,96-1
210000079,021-1
210000080,98-1
241007117,1707동서울-성주
241002810,1732동서울-영해
234001709,P9243(출근)
234001710,P9243(퇴근)
241002200,8721의정부-충주
228000401,P9201(퇴근)
214000263,순환123A
228000398,P9241(출근)
241001920,8838-1천안-양평
234001044,37-31
241002070,8238평택-원주
214000269,순환122B
234001247,36-14
215000221,90-6
204000125,67
210000092,021
241002440,9270인천-강릉
210000096,8808
210000097,57-2
233000077,1000
233000010,33-1
204000115,602
210000101,67
200000023,83-1
241004760,8862
204000121,76
200000251,2-5
241003680,8504부천-인천-무안
200000253,27
213000001,7
200000054,82-1
200000268,400-2
239000005,40-5
214000026,100
200000070,11-1
200000095,3
200000055,25
241002510,9216인천-태백
239000014,40-2
239000078,30-7
239000010,30-5
233000378,H404
213000018,7-1
229000017,830
213000020,1
213000021,1-1
213000022,1-3
213000023,2
219000027,1900
240000112,7-11
240000110,7-10
219000005,82
210000036,70-3
232000024,공영(쇄암리)
229000018,66
214000004,20
236000013,55
222000215,6-6
222000013,23
200000013,999
232000110,M7145
241007046,8360문산-충주
241007120,6804성남-울산
241006843,8717의정부-동대구
222000032,1-4
241006775,5408강진-서수원
233000268,200
210000034,70
241007224,1351
207000094,12-1
207000095,10-5
204000172,4103
215000214,82-4
214000155,87-3
208000003,11-1
235000023,73-1
231000019,1-2
200000157,2-2
229000247,9710-1
234001293,911-2
234001593,1-23
229000033,93
234001118,33-5
231000088,5-1
221000035,G1690
234001663,33
214000016,7-3
229000127,93-3
234000029,96
222000052,95
229000128,93-4
234000058,92
214000015,7
241001650,8315수원-괴산
233000342,H104
208000031,19
233000327,G6010
234001011,36-6
208000034,3-1
241007011,2203원주-속초
241006794,8349(광명역-논산)
208000037,5-1
215000088,58-5
208000042,5
208000043,1
208000044,5-5
208000045,5-3
208000046,8
208000047,7
208000048,3
208000049,3-1
208000050,9
208000051,10-2
208000052,10-1
208000053,5-1
208000054,6
208000055,06
208000056,6-1
208000057,6-2
208000058,6-3
208000059,2-1
208000060,2
208000061,01
208000062,82
228000392,119
239000028,50-4
239000148,15-4
239000153,23-1
222000224,8-8A
228000251,92-1
210000049,56-1
241006590,7001
214000267,순환122A
210000004,55
200000237,5-2
210000052,57-1
210000015,5-2
200000282,5-3
210000018,5-5
200000294,7002예약
210000020,7-1
210000021,7-2
210000022,7-3
241006787,3500대전-전주
204000091,73
210000025,9
230000088,24-1
210000028,220
214000010,15-2
215000031,54-1
223000143,30(학통하교)
215000033,1-3
215000034,1-4
215000035,1-5
241002050,8223수원-원주
214000007,15-1
214000025,8-1
214000024,8-2
241001740,8231강릉-안산
214000029,49-1
214000172,7-7
214000031,49
214000033,57-3
223000135,202(학통하교)
241001670,8214수원-영월
214000036,13
214000038,14
214000162,7-6
223000134,202(학통등교)
241003840,8708부천-상주
214000049,3
216000090,51
241001440,8209성남-태백
214000248,1177
232000103,7100
204000155,누리4
215000036,1-6
207000009,1-1
204000084,331
234001224,23-80
200000032,16
241003720,8209-1성남-태백
234000462,23-8
205000003,3-1
241006904,3206대전-원주
214000071,86-1
241007017,3202충주-원주
214000076,92
241007016,3201청주-원주
204000026,52
241007015,3200제천-영월
234001456,21-9
204000171,53
234000077,500-5
229000145,064
214000104,57-4
214000105,81
206000003,300
214000109,49-3
214000110,49-2
232000099,9000
225000005,100-1
214000145,700
234001317,M5121
204000145,누리1
240000047,7-3
214000151,300
214000152,300-1
233000324,12
204000147,누리3
204000005,57
214000157,310-1
214000158,320
210000043,60
224000028,31-3
214000165,800
241007203,1308
214000167,5
228000424,5003A(예약)
200000249,2-1
200000306,27-8
234001727,35-17A
214000174,91-1
214000175,310-3
214000176,320-2
234001019,38-12
214000181,2-1
234000960,1-21
234001564,38-10
234001314,916
214000185,920
214000186,920-1
