bus_route_location_id,route_id,station_id,station_seq,end_bus,low_plate,plate_no,plate_type,remain_seat_count,created_at
"1","200000150","201000447","79","0","0","경기70사1665","3","44","2024-07-24 14:17:07"
"2","200000150","201000447","79","0","0","경기70사1125","3","45","2024-07-24 14:17:07"
"3","200000150","119000302","41","0","0","경기70사1147","3","49","2024-07-24 14:17:07"
"4","200000150","277103221","32","0","0","경기70사1663","3","29","2024-07-24 14:17:07"
"5","200000150","201000105","21","0","0","경기70사1119","3","37","2024-07-24 14:17:07"
"6","200000150","120000671","38","0","0","경기70사1677","4","60","2024-07-24 14:17:07"
"7","200000150","201000415","66","0","0","경기76아1297","3","38","2024-07-24 14:17:07"
"8","200000150","277103201","47","0","0","경기70사1640","3","24","2024-07-24 14:17:07"
"9","200000150","200000094","27","0","0","경기70사1155","3","35","2024-07-24 14:17:07"
"10","200000150","201000178","72","0","0","경기70사1132","3","43","2024-07-24 14:17:07"
"11","200000150","201000436","5","0","0","경기70사1641","3","40","2024-07-24 14:17:07"
"12","200000150","277101688","40","0","0","경기70사1664","3","44","2024-07-24 14:17:07"
"13","200000150","201000179","71","0","0","경기70사1678","4","68","2024-07-24 14:17:07"
"14","200000150","201000244","12","0","0","경기70사1112","4","66","2024-07-24 14:17:07"
"15","200000150","277103204","45","0","0","경기76아1298","3","40","2024-07-24 14:17:07"
"16","200000150","200000160","57","0","0","경기70사1666","3","39","2024-07-24 14:17:07"
"17","200000150","200000305","60","0","0","경기70사1647","4","54","2024-07-24 14:17:07"
"18","200000150","201000447","79","0","0","경기70사1665","3","44","2024-07-24 14:20:07"
"19","200000150","201000447","79","0","0","경기70사1125","3","45","2024-07-24 14:20:07"
"20","200000150","121001315","39","0","0","경기70사1677","4","70","2024-07-24 14:20:07"
"21","200000150","201000107","22","0","0","경기70사1119","3","36","2024-07-24 14:20:07"
"22","200000150","201000412","69","0","0","경기76아1297","3","39","2024-07-24 14:20:07"
"23","200000150","277103200","34","0","0","경기70사1663","3","29","2024-07-24 14:20:07"
"24","200000150","277102049","42","0","0","경기70사1147","3","34","2024-07-24 14:20:07"
"25","200000150","277104642","30","0","0","경기70사1155","3","35","2024-07-24 14:20:07"
"26","200000150","277103220","49","0","0","경기70사1640","3","24","2024-07-24 14:20:07"
"27","200000150","201000178","72","0","0","경기70사1678","4","68","2024-07-24 14:20:07"
"28","200000150","201000411","7","0","0","경기70사1641","3","40","2024-07-24 14:20:07"
"29","200000150","119000302","41","0","0","경기70사1664","3","44","2024-07-24 14:20:07"
"30","200000150","201000435","76","0","0","경기70사1132","3","43","2024-07-24 14:20:07"
"31","200000150","201000117","61","0","0","경기70사1666","3","40","2024-07-24 14:20:07"
"32","200000150","277103201","47","0","0","경기76아1298","3","40","2024-07-24 14:20:07"
"33","200000150","201000149","15","0","0","경기70사1112","4","65","2024-07-24 14:20:07"
"34","200000150","201000229","62","0","0","경기70사1647","4","56","2024-07-24 14:20:07"
"35","200000150","201000447","79","0","0","경기70사1665","3","44","2024-07-24 14:23:07"
"36","200000150","201000447","79","0","0","경기70사1125","3","45","2024-07-24 14:23:07"
"37","200000150","277103203","35","0","0","경기70사1663","3","29","2024-07-24 14:23:07"
"38","200000150","220000009","44","0","0","경기70사1147","3","34","2024-07-24 14:23:07"
"39","200000150","277101688","40","0","0","경기70사1677","4","70","2024-07-24 14:23:07"
